0,noto,233460,32209.073312
1,piangea,4741192,81176.622633
2,spenti!,1014671, 4476.013614
3,misericordia,496325,61628.929334
4,quando,4476757,10838.641053
5,Arrio,3754104,99560.485603
6,terra,4271997, 4410.390699
7,giace;,4896376,23517.728303
8,fornito,2735414,68601.754091
9,ferro,2163766,59111.526206
10,Parisi?».,2369159,85156.781672
11,quali,1188961,44967.270641
12,occhio,3843159,13586.470847
13,Clïò,2146160,48243.610119
14,donna,3119429,22818.165048
15,segnor,4120770,79957.986270
16,noto,4599783,91798.216288
17,rezzo;,4606238,25986.016683
18,sono,872018,67866.844358
19,così,2360017,11812.276168
20,Guido,1337499, 7534.889704
21,Isifile,1348323,81317.768634
22,Donna,1115348,36400.967256
23,labbra,1677122,77937.442951
24,biondo,4562917,27489.326391
25,qualunque,2570634,69433.601852
26,ver',1200616,26743.523287
27,manda,4961851,23357.736222
28,diversamente,1859749,68746.634939
29,appetibili,2479328,82973.910109
